transaction_id,posting_date,document_date,amount,vendor_name,invoice_number,debit_account,credit_account,narration,is_manual_entry,gst_amount,gstin
TXN-000001,2026-02-22,2026-02-22,2669.54,VENDOR_0027,INV-2025-7912,Rent Expense,HDFC Current Account,Payment for rent expense to VENDOR_0027,False,480.52,27ABCDE1488F1Z5
TXN-000002,2025-05-18,2025-05-15,1523.88,VENDOR_0007,INV-2025-9928,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0007,False,274.30,27ABCDE4611F1Z5
TXN-000003,2025-11-16,2025-11-14,12891.14,VENDOR_0002,INV-2025-6574,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0002,False,2320.41,27ABCDE3547F1Z5
TXN-000004,2025-07-20,2025-07-18,20308.43,VENDOR_0024,INV-2025-6881,Professional Fees,HDFC Current Account,Payment for professional fees to VENDOR_0024,False,3655.52,27ABCDE5333F1Z5
TXN-000005,2025-04-23,2025-04-22,13626.27,VENDOR_0097,INV-2025-6925,Vendor Advances,SBI Corporate Account,Payment for vendor advances to VENDOR_0097,False,2452.73,27ABCDE2139F1Z5
TXN-000006,2025-04-24,2025-04-22,21224.6,VENDOR_0021,INV-2025-7227,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0021,False,3820.43,27ABCDE8428F1Z5
TXN-000007,2026-02-20,2026-02-19,11174.81,VENDOR_0091,INV-2025-2169,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0091,False,2011.47,27ABCDE9751F1Z5
TXN-000008,2025-08-04,2025-08-04,1608.97,VENDOR_0164,INV-2025-6313,Rent Expense,ICICI Bank Account,Payment for rent expense to VENDOR_0164,False,289.61,27ABCDE4752F1Z5
TXN-000009,2025-04-17,2025-04-14,14025.96,VENDOR_0017,INV-2025-4483,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0017,False,2524.67,27ABCDE7482F1Z5
TXN-000010,2026-02-24,2026-02-21,4379.84,VENDOR_0064,INV-2025-8019,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0064,False,788.37,27ABCDE6930F1Z5
TXN-000011,2025-07-22,2025-07-22,4653.35,VENDOR_0029,INV-2025-7916,Raw Material Purchases,ICICI Bank Account,Payment for raw material purchases to VENDOR_0029,False,837.60,27ABCDE7304F1Z5
TXN-000012,2025-10-13,2025-10-11,7123.01,VENDOR_0065,INV-2025-2876,Capital Expenditure,HDFC Current Account,Payment for capital expenditure to VENDOR_0065,False,1282.14,27ABCDE6573F1Z5
TXN-000013,2025-05-28,2025-05-27,2966.17,VENDOR_0001,INV-2025-9201,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0001,False,533.91,27ABCDE9317F1Z5
TXN-000014,2025-05-25,2025-05-23,14577.64,VENDOR_0164,INV-2025-3504,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0164,False,2623.98,27ABCDE3646F1Z5
TXN-000015,2026-01-02,2025-12-31,42114.34,VENDOR_0126,INV-2025-6947,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0126,False,7580.58,27ABCDE4923F1Z5
TXN-000016,2025-04-30,2025-04-29,1432.24,VENDOR_0021,INV-2025-2133,Vendor Advances,Accounts Payable,Payment for vendor advances to VENDOR_0021,False,257.80,27ABCDE3103F1Z5
TXN-000017,2026-03-04,2026-03-03,4389.51,VENDOR_0068,INV-2025-4470,Capital Expenditure,Accounts Payable,Payment for capital expenditure to VENDOR_0068,False,790.11,27ABCDE6107F1Z5
TXN-000018,2025-10-22,2025-10-20,3773.87,VENDOR_0031,INV-2025-2049,Raw Material Purchases,ICICI Bank Account,Payment for raw material purchases to VENDOR_0031,False,679.30,27ABCDE1344F1Z5
TXN-000019,2026-01-27,2026-01-27,6436.35,VENDOR_0002,INV-2025-4750,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0002,False,1158.54,27ABCDE1514F1Z5
TXN-000020,2025-09-17,2025-09-16,1541.66,VENDOR_0172,INV-2025-9834,Professional Fees,ICICI Bank Account,Payment for professional fees to VENDOR_0172,False,277.50,27ABCDE8744F1Z5
TXN-000021,2025-08-03,2025-08-01,103128.32,VENDOR_0049,INV-2025-8062,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0049,False,18563.10,27ABCDE7939F1Z5
TXN-000022,2025-10-28,2025-10-25,3825.46,VENDOR_0173,INV-2025-1993,Rent Expense,HDFC Current Account,Payment for rent expense to VENDOR_0173,False,688.58,27ABCDE6559F1Z5
TXN-000023,2025-05-26,2025-05-24,2594.22,VENDOR_0115,INV-2025-4006,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0115,False,466.96,27ABCDE8579F1Z5
TXN-000024,2025-08-06,2025-08-05,455.04,VENDOR_0139,INV-2025-4872,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0139,False,81.91,27ABCDE7658F1Z5
